MarkettypeID,date,Portfolios,RM,SMB,HML,RMW,CMA
P9709,2001/3/2,2,0.008945,0.001705,-0.002941,-0.001864,-0.001244
P9709,2001/3/2,3,0.008945,0.00242,-0.002274,-0.001529,-0.000225
P9713,2001/3/2,3,0.016945,0.002432,0.008839,-0.003847,-0.00054
P9713,2001/3/2,1,0.016945,0.001229,0.011584,-0.007339,0.002639
P9713,2001/3/2,2,0.016945,0.001403,0.00738,-0.004872,0.000416
P9714,2001/3/2,3,0.008945,0.00242,-0.002274,-0.001529,-0.000225
P9714,2001/3/2,2,0.008945,0.001705,-0.002941,-0.001864,-0.001244
P9714,2001/3/2,1,0.008945,0.001641,-0.003071,-0.003034,-0.000621
P9709,2001/3/5,1,-0.001055,0.003394,-0.001772,-0.00056,0.003735
P9709,2001/3/5,2,-0.001055,0.00322,-0.002198,0.000154,0.002304
P9709,2001/3/5,3,-0.001055,0.003401,-0.001926,0.000667,0.002866
P9713,2001/3/5,2,0.006945,0.002893,0.009353,-0.003458,0.003987
P9713,2001/3/5,3,0.006945,0.003466,0.010497,-0.002182,0.00258
P9713,2001/3/5,1,0.006945,0.002887,0.014491,-0.005704,0.007315
P9714,2001/3/5,1,-0.001055,0.003394,-0.001772,-0.00056,0.003735
P9714,2001/3/5,2,-0.001055,0.00322,-0.002198,0.000154,0.002304
P9714,2001/3/5,3,-0.001055,0.003401,-0.001926,0.000667,0.002866
P9709,2001/3/6,1,0.001945,-0.001181,0.002225,0.003884,0.000132
P9709,2001/3/6,2,0.001945,-0.001472,0.000623,0.002087,0.001387
P9709,2001/3/6,3,0.001945,-0.001343,0.000819,0.002308,0.001431
P9713,2001/3/6,2,0.007945,-0.00156,0.008181,0.000742,0.00194
P9713,2001/3/6,3,0.007945,-0.000871,0.009503,0.001557,0.001077
P9713,2001/3/6,1,0.007945,-0.001402,0.01238,0.001936,0.002232
P9714,2001/3/6,1,0.001945,-0.001181,0.002225,0.003884,0.000132
P9714,2001/3/6,3,0.001945,-0.001343,0.000819,0.002308,0.001431
P9714,2001/3/6,2,0.001945,-0.001472,0.000623,0.002087,0.001387
P9709,2001/3/7,1,0.002945,-0.000492,0.001308,0.000103,-0.000127
P9709,2001/3/7,3,0.002945,-0.000488,0.001445,-0.000025,0.000857
P9709,2001/3/7,2,0.002945,-0.000541,0.00125,-0.00047,0.000356
P9713,2001/3/7,1,-0.003055,0.000623,-0.008484,0.004047,-0.000199
P9713,2001/3/7,2,-0.003055,0.000488,-0.006134,0.002651,0.001157
P9713,2001/3/7,3,-0.003055,0.000748,-0.006737,0.003357,0.003756
P9714,2001/3/7,2,0.002945,-0.000541,0.00125,-0.00047,0.000356
P9714,2001/3/7,1,0.002945,-0.000492,0.001308,0.000103,-0.000127
P9714,2001/3/7,3,0.002945,-0.000488,0.001445,-0.000025,0.000857
P9709,2001/3/8,3,0.005945,-0.000794,-0.003085,-0.002156,0.000826
P9709,2001/3/8,2,0.005945,-0.001526,-0.002209,-0.002093,-0.000385
P9709,2001/3/8,1,0.005945,-0.001721,-0.003394,-0.003332,0.000797
P9713,2001/3/8,1,0.006945,-0.000341,-0.001735,-0.003666,0.002396
P9713,2001/3/8,2,0.006945,-0.000129,-0.001312,-0.002346,0.000868
P9713,2001/3/8,3,0.006945,0.000784,-0.002003,-0.001979,0.002067
P9714,2001/3/8,1,0.005945,-0.001721,-0.003394,-0.003332,0.000797
P9714,2001/3/8,2,0.005945,-0.001526,-0.002209,-0.002093,-0.000385
P9714,2001/3/8,3,0.005945,-0.000794,-0.003085,-0.002156,0.000826
P9709,2001/3/9,2,0.005945,-0.000492,-0.00658,0.000298,-0.004817
P9709,2001/3/9,1,0.005945,-0.000528,-0.009132,0.001567,-0.004854
P9709,2001/3/9,3,0.005945,-0.000542,-0.006498,-0.001032,-0.004325
P9713,2001/3/9,3,0.011945,0.00057,0.002115,-0.003072,-0.00352
P9713,2001/3/9,1,0.011945,0.000388,0.002278,-0.002311,-0.001213
P9714,2001/3/9,1,0.005945,-0.000528,-0.009132,0.001567,-0.004854
P9714,2001/3/9,2,0.005945,-0.000492,-0.00658,0.000298,-0.004817
P9713,2001/3/9,2,0.011945,0.000512,0.001521,-0.002456,-0.002587
P9714,2001/3/9,3,0.005945,-0.000542,-0.006498,-0.001032,-0.004325
P9709,2001/3/12,3,0.001945,0.007562,-0.002494,0.000691,0.004984
P9709,2001/3/12,2,0.001945,0.008811,-0.001345,-0.00092,0.004298
P9709,2001/3/12,1,0.001945,0.0088,-0.002054,-0.001244,0.005243
P9713,2001/3/12,2,0.005945,0.009823,0.004181,-0.003577,0.006389
P9714,2001/3/12,1,0.001945,0.0088,-0.002054,-0.001244,0.005243
P9713,2001/3/12,3,0.005945,0.008706,0.003468,-0.001329,0.006254
P9713,2001/3/12,1,0.005945,0.009726,0.005751,-0.004659,0.008471
